education,goals,resources,exit,voice,metrics,communication
23andMe,1,-0.333333,-0.333333,-0.333333,-1,1,-0.333333
4chan,1,0.333333,1,-0.333333,0.333333,-1,1
Al Jazeera's The Stream,1,-1,-1,1,0.5,0.5,1
All For Good,1,-1,0.333333,0.333333,-1,-0.333333,0.333333
Amazon.com,-0.333333,-1,-0.333333,0.333333,-1,0.333333,1
Android OS,1,0.333333,1,1,1,0.333333,1
Anonymous,1,1,1,0.5,1,-0.25,0.5
Apache,1,1,1,1,1,1,1
BOINC,-0.333333,-1,-1,1,-1,1,-0.333333
BSD/FreeBSD,1,1,1,1,1,1,1
Bakespace,1,-1,-0.333333,0.333333,-1,1,1
Bitcoin,0,-1,0.5,0.5,-1,1,-0.5
Blender,1,1,1,1,1,1,1
Blip.tv,0.333333,-0.333333,0.333333,1,1,1,1
BookCrossing.com,1,-1,0.333333,1,-1,1,1
CNN's iReport,0.5,-1,-0.5,1,-1,1,0.5
Change.org,1,-1,0.333333,1,-0.333333,1,-0.333333
Connexions,1,-0.333333,1,1,0.333333,1,1
CouchSurfing,1,-1,-1,1,-0.333333,1,1
Current,1,-1,-1,1,-0.333333,1,1
Debian,1,1,1,1,0.333333,1,0.333333
DocumentCloud,1,-1,1,1,0.333333,1,0.333333
Dreamwidth,1,-1,1,0.333333,-0.333333,0.333333,1
Drupal,1,0.333333,1,1,0.333333,0.333333,0.333333
Dyne.org,1,1,1,1,1,1,1
Eclipse,1,1,1,1,0,1,1
Etsy,-0.333333,-1,0.333333,0.333333,-0.333333,1,1
FLOSS Manuals,1,0.6,0.6,1,1,0.6,1
Facebook,1,-1,-1,-0.333333,-1,0.333333,1
Figshare,1,-1,1,1,-0.333333,1,1
Fold It,1,-1,-0.75,1,0,1,1
Foursquare,-0.5,-1,-1,0,-1,1,1
Free Press,1,-1,-0.2,1,-0.6,0.2,-0.6
Free Speech TV,0,-1,-1,1,0,0,-0.5
FreeRice,1,-1,-1,1,-0.333333,1,0.333333
Global Voices,1,0,1,1,0.5,0.5,0.5
Grindr,0,-1,-1,0,-1,0,0.5
Hypercities,1,-0.333333,0.333333,0.333333,-0.333333,0.333333,0.333333
IdeaScale,1,-0.5,-0.5,1,0.5,0.5,0.5
Indymedia (IMC),1,1,1,1,1,-0.5,1
Instagram,-0.5,-1,0.5,0,-1,1,1
Internet Movie Database,0.5,-1,-1,1,-0.5,-0.5,0.25
Kaltura,1,0,1,1,0,0.5,0.5
Kickstarter,-0.333333,-1,0.333333,1,-1,1,1
Kiva,1,-1,-0.333333,1,-0.333333,1,0.333333
Know Your Meme,-0.333333,-0.333333,-1,1,-0.333333,1,0.333333
Learning to Love You More,0.333333,-1,-0.333333,0.333333,-1,1,-0.333333
Libcom,1,-1,1,1,1,0.333333,1
Library.nu,1,-1,1,1,-1,-0.333333,0.333333
LibreOffice,1,0.333333,1,1,0.333333,0.333333,1
Linux,1,1,1,1,1,1,1
LiveJournal,0.333333,-1,1,0.333333,0.333333,0.333333,1
Mangafox.me,-0.333333,-1,0.333333,1,-0.333333,1,0.333333
Match.com,-1,-1,-1,0.333333,-1,0.333333,1
Meetup.com,-1,-1,0.333333,1,-0.333333,1,1
MicroPlace,1,-1,-0.333333,0.333333,-0.333333,1,1
MoveOn.org,1,1,-0.666667,0.333333,1,0.333333,1
Mozilla,1,1,1,1,1,1,1
Mukurtu,1,0.333333,1,1,1,1,0.333333
MySQL,1,0.333333,1,1,0.333333,1,1
MySpace,0.333333,-1,-0.333333,0.333333,-1,1,1
Nettime Mailing List,1,0.666667,0.333333,1,1,1,1
Next New Networks,0.333333,-1,0.333333,0.333333,-1,1,1
OLPC (One Laptop per Child),1,-1,-0.333333,1,-0.333333,-0.333333,-0.333333
OkCupid,-0.333333,-1,-0.333333,1,-1,1,0.333333
Open Solaris,1,0.333333,1,1,0.333333,1,1
Open Street Map,1,0.333333,1,1,0.333333,1,1
OpenPaths,1,-1,1,1,-0.333333,1,-1
Ourproject.org,1,0.333333,1,1,0.333333,1,1
PLoS (Public Library of Science),1,-1,0.333333,1,-0.333333,1,1
Patients Like Me,1,-1,-1,0.333333,-1,1,1
Personal Genome Project,1,-1,1,1,-0.333333,1,1
Pinterest,0.333333,-1,-0.333333,0.333333,-1,1,1
Project Gutenberg,1,-0.333333,0.333333,1,0.333333,-0.333333,-0.333333
Python,1,0.333333,1,1,0.333333,-0.333333,1
Quantified Self,1,-0.333333,1,1,-0.333333,0.333333,1
Quirky,1,-1,-1,1,1,1,1
Ravelry,0.333333,-1,0.333333,1,-0.333333,1,1
Reciprocal Research Network,1,-0.333333,0.333333,0.333333,0.333333,-0.333333,1
Red Hat,1,0.333333,1,1,1,-0.333333,0.333333
ResearchGate,-1,-1,1,1,-1,1,1
Revision3,-1,-1,-0.333333,1,-1,-1,1
Revver,-1,-1,0,0.666667,-1,0.333333,0.333333
Rhizome,1,1,1,1,1,-0.333333,1
Riseup,1,0.333333,1,1,1,-1,0.333333
SNPedia,1,-1,0.333333,1,-0.333333,1,0.333333
Safecast,1,-1,1,1,-0.333333,-1,0.333333
Second Life,-0.333333,-1,1,-0.333333,0.333333,-0.333333,1
The Strategy Center,1,1,0.333333,0.333333,1,1,1
Threadless Community,0.333333,-1,-1,0.333333,-0.333333,1,0.333333
Tor,1,-1,1,1,-0.333333,1,0.333333
Tumblr,0.333333,-1,1,0.333333,-1,0.333333,1
Twitter,0.333333,-1,-1,0.333333,-0.333333,0.333333,1
Urban Dictionary,1,-1,0.333333,1,-0.333333,1,-0.333333
Wikia,1,-0.333333,1,1,0.333333,0.333333,1
Wikipedia,1,0.333333,1,1,1,1,0.333333
Wordpress,1,-0.333333,1,1,0.333333,0.333333,0.333333
World of Warcraft,0.333333,-1,-1,0.333333,-0.333333,1,1
YouTube,0.333333,-1,-1,1,-1,0.333333,1
Zooniverse,1,-0.5,-0.5,0.5,-0.5,1,0
deviantART,-0.333333,-1,1,1,-1,0.333333,1
mmowgli,0.333333,-1,-1,1,-0.333333,0.333333,1